Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Break Starter,Center,"7'0""",244,84,67,85,77,61,89,86,71,87,53,38,88,66,60,84,68,92,70,58,91,75
2-Way 3-Level Cleaner,Center,"6'11"" to 7'4""",227-244,80-86,70-80,70-87,75-93,64-91,81-89,83-89,59-83,71-82,42-70,34-60,85-90,45-62,40-67,75-85,67-82,85-92,57-73,43-65,80-85,70-85
2-Way 3-Level Crasher,Center,"7'0""",230,80,70,87,81,65,85,84,77,76,47,33,88,50,60,93,92,77,73,53,84,83
2-Way 3-Level Dime Dropper,Center,"6'10""",250,75,67,87,64,53,85,83,71,88,63,48,88,44,76,91,85,75,74,65,84,83
2-Way 3-Level Diming Crasher,Center,"7'1"" to 7'4""",246-260,80-84,55-70,55-75,90,61-75,82-86,89-90,64-75,85-86,40-50,27-41,88,38-41,43-55,84-86,92-94,80-85,56-60,42-45,86-91,70-75
2-Way 3-Level Point Center,Center,"7'0""",225,88,85,73,65,84,93,90,72,87,73,62,88,62,60,84,70,85,71,60,84,70
2-Way 3-Level Scorer,Center,"7'1"" to 7'4""",220-230,86-87,77-80,73-80,75-77,90-91,89-91,88-89,66-91,47-85,55-70,44-58,88-89,62-67,45,70-94,82-83,80-85,62-72,47-60,74-81,73-80
2-Way 3-Level Shot Creator,Center,"6'11""",242,85,80,88,73,70,89,83,70,80,73,63,90,63,60,90,57,82,74,64,83,83
2-Way Break-Starting Popper,Center,"7'1"" to 7'4""",251-258,77-88,60-70,53-73,63-84,70-79,80-93,83-89,71-89,87-93,47-54,25-43,85-95,38-62,40-60,70-84,80-83,94,53-63,40-50,85-94,68-78
2-Way Bulldozer,Center,"6'11""",253,70,70,88,80,65,45,25,70,26,50,34,95,45,50,99,53,78,72,61,98,85
2-Way Crafty 3-Level Cleaner,Center,"7'0"" to 7'4""",230-269,86-95,64-80,69-75,75-98,70-90,79-92,84-90,65-83,53-82,45-74,27-54,85-91,45-63,40-53,64-85,60-84,85-93,49-67,46-54,68-86,66-80
2-Way Crafty 3-Level Scorer,Center,"7'2""",220,99,84,80,95,74,85,83,88,44,62,51,87,66,42,89,55,79,68,52,67,66
2-Way Crafty Inside-Out Dimer,Center,"7'0"" to 7'4""",230-261,90,65-90,58-59,81-90,87,80,89-90,80,93,43-74,25-52,84-90,34-44,39-62,84,67-84,85-92,62-66,46-47,78-81,70-74
2-Way Crafty Putback Masher,Center,"7'4""",236,91,66,61,90,68,77,76,71,73,28,25,86,36,41,93,96,81,60,45,77,72
2-Way Crafty Stretch Five,Center,"7'4""",230,95,77,61,82,84,90,89,66,81,65,44,90,55,49,67,80,80,62,47,81,73
2-Way Crashing Power Dunker,Center,"7'0""",256,78,67,87,90,77,38,25,60,76,47,27,88,38,60,84,98,83,67,54,91,80
2-Way Dime-Popping Crasher,Center,"7'0"" to 7'4""",255-260,80-84,55-59,52-70,76-84,61-85,84-89,83-89,72-79,85-87,37-52,25-28,86,36-39,42-44,84-85,96-97,82-83,50-68,38-53,90-91,67-80
2-Way Diming 3-Level Bully,Center,"7'4""",236,85,71,70,90,87,90,89,75,92,65,35,86,61,45,56,84,75,60,45,86,71
2-Way Diming Lob Threat,Center,"7'4""",230,84,70,75,95,67,77,76,81,93,43,41,85,62,40,74,94,80,62,47,72,73
2-Way Diming Power Finisher,Center,"7'0""",253,84,80,87,95,67,55,36,80,87,56,55,85,42,40,68,80,92,68,55,95,75
2-Way Faceup Putback Pro,Center,"6'11""",254,85,70,75,85,81,88,77,64,76,73,55,85,72,60,84,89,80,70,61,81,83
2-Way Inside-Out Bully Dimer,Center,"7'1"" to 7'4""",244-260,75-88,50-70,53-70,86-92,61-85,69-80,78-89,55-85,82-94,37-65,25-41,86-90,38-59,43-53,74-93,70-94,79-96,50-63,38-45,89-91,66-70
2-Way Inside-Out Cleaner,Center,"7'0""",235-255,91-92,80-87,73-82,88-92,82-87,74-80,84-85,67-79,77-85,60-70,50-56,85-87,38-55,42,74-85,70-75,93-94,68-70,55,84-86,71-74
2-Way Inside-Out Crasher,Center,"7'1""",247,92,83,80,90,77,73,83,59,65,45,45,85,36,41,84,94,80,64,51,91,79
2-Way Inside-Out Creator,Center,"7'0"" to 7'1""",227-255,83-92,70-80,80,92-95,72-87,79-80,89-90,65-79,55-76,72-73,55-57,85-87,38-50,40-42,74-90,70-83,80-94,68,48-55,86,71-82
2-Way Inside-Out Dime-Dropper,Center,"7'3"" to 7'4""",232-252,80-84,70-75,54-75,81-95,55-87,75-80,81-89,63-89,85-94,49-65,38-40,85-88,52-62,40-46,84-85,80-94,81-94,54-61,41-46,72-84,65-74
2-Way Iso Savant,Center,"7'0""",219,86,72,85,82,64,90,90,68,75,74,64,88,65,43,77,82,83,75,55,84,87
2-Way Lob Threat Cleaner,Center,"7'4""",260,84,59,65,99,70,70,73,54,71,35,25,85,35,40,84,70,94,50,38,90,66
2-Way Lob Threat Crasher,Center,"7'0"" to 7'2""",240-250,78-80,60-70,71-73,90-95,67-70,40-80,25-80,65-79,75-87,40-43,32-41,88,39-62,43-51,88-93,92-96,81-87,61-69,47-56,84-92,76-83
2-Way Mid-Paint Cleaner,Center,"7'0""",244,84,70,73,94,70,89,80,70,65,71,59,88,62,43,84,80,92,70,50,84,77
2-Way Mid-Paint Crasher,Center,"6'11"" to 7'0""",235-265,78-84,59-70,70-87,90,55-60,83-89,60-80,66-73,85,50-71,32-51,88,39-42,43-60,84-85,92-94,85,69-72,57-61,85-90,77-80
2-Way Mid-Paint Phenom,Center,"7'0""",225,89,82,84,75,89,89,81,76,75,71,63,90,65,45,74,72,85,74,64,86,80
2-Way Mid-Post Bully Riser,Center,"7'4""",267,94,68,53,90,95,90,80,67,25,45,26,92,51,47,93,55,72,48,37,95,66
2-Way Mid-Post Cleaner,Center,"7'4""",266,92,67,54,92,93,80,83,59,40,43,30,90,40,45,74,75,94,48,37,95,66
2-Way Mid-Post Scorer,Center,"6'11""",215,80,75,70,81,80,85,80,61,71,46,42,85,71,60,94,83,83,78,72,79,85
2-Way Mid-Post-Dimming Crasher,Center,"7'0""",253,87,62,63,90,87,89,71,71,87,52,51,88,38,43,93,90,81,51,54,86,78
2-Way Middy Point Center Bully,Center,"6'11""",233,86,80,65,70,80,85,75,82,87,73,64,88,45,60,88,75,85,75,67,89,80
2-Way Middy-Creating Cleaner,Center,"6'7"" to 6'9""",250-266,74-85,55-80,62-77,72-85,57-79,85-89,75-80,74-77,75-76,65-73,65-70,88-89,79-82,60-73,74-84,67-80,92,70-85,67-78,85,68-83
2-Way Paint-Pounding Cleaner,Center,"7'1"" to 7'4""",252-290,92-96,67-71,60-73,90-97,87-95,52-80,25-35,52-72,50-76,40-50,25-43,88-94,39-52,43-49,64-84,60-84,85-92,52-58,37-45,88-95,69-76
2-Way Paint-Pounding Crasher,Center,"7'4""",259-260,94,70,51,90,90,73-74,28-29,73-74,65,40,25,85,35,40,93,94,83,50-51,38-39,86,66
2-Way Pick & Pop Cleaner,Center,"7'0"" to 7'1""",236-240,87-91,70-73,58-78,84-85,62-85,84-92,83-85,69-72,76-84,55-65,55-60,88-90,39-62,60-61,79-84,70-75,92-94,67-68,49-60,87-89,73-74
2-Way Pick & Pop Crasher,Center,"7'0""",248,84,59,77,79,79,85,81,61,75,55,56,90,62,47,85,93,79,69,57,91,82
2-Way Pick & Popper,Center,"7'4""",260,85,61,58,81,74,73,82,72,41,50,38,96,56,53,99,65,81,50,38,90,67
2-Way PlayShot Crasher,Center,"6'11""",256,85,60,36,41,60,90,87,93,99,74,60,97,66,65,67,90,81,60,46,77,51
2-Way Post Break Starter,Center,"7'1""",240,89,70,68,90,86,80,80,70,95,55,40,85,37,60,74,80,96,60,40,81,67
2-Way Post Bully Cleaner,Center,"7'4""",275,96,66,61,81,93,60,40,85,55,43,26,90,40,45,84,72,96,45,25,95,51
2-Way Post Bully Crasher,Center,"7'0""",257,86,70,73,95,91,46,25,47,82,50,52,88,38,43,90,94,80,52,54,90,77
2-Way Post Bully Stretch,Center,"7'1"" to 7'4""",240-261,92-94,67-69,59-66,90,93-95,90-93,83-89,65-68,65-75,45-48,30,88,38-40,43,74-84,80-85,70,50-66,38-46,91-93,66-74
2-Way Post-Diming Crasher,Center,"7'4""",230,94,70,75,72,87,79,78,78,93,43,25,87,62,58,84,92,79,62,47,67,70
2-Way Post-Scoring Stretch,Center,"7'1"" to 7'4""",220-230,87-91,70-77,68-73,83-90,81-90,83-93,89-90,68-83,70-80,44-65,34-44,86-91,36-62,41-46,77-88,63-84,75-85,60-72,47-60,79-81,73-83
2-Way Post-Up Stretch Cleaner,Center,"7'4""",247,83,60,69,90,88,80,89,70,82,65,41,86,59,41,82,80,85,55,42,91,66
2-Way Post-Up Stretch Crasher,Center,"7'4""",272,95,67,53,90,95,79,89,64,25,45,36,91,54,46,61,88,80,46,35,96,65
2-Way Power-Dunking Cleaner,Center,"6'8""",245,70,65,82,85,56,71,80,56,60,50,55,85,70,60,80,80,94,85,75,91,78
2-Way Putback Power Finisher,Center,"7'0""",245,92,67,73,81,67,70,80,56,80,45,30,90,40,45,92,94,81,70,50,91,83
2-Way Putback Pro,Center,"6'11""",253,80,80,87,95,57,71,78,60,82,53,50,86,53,41,93,93,80,55,40,78,83
2-Way Rim Runner,Center,"7'0""",246,80,80,73,93,80,75,80,63,80,56,59,95,66,50,81,80,83,70,50,84,80
2-Way Rim-Rocking Stretch,Center,"6'11""",236,89,70,86,72,80,81,91,70,78,66,61,85,72,60,90,70,72,75,66,86,80
2-Way Rim-Running Putback Pro,Center,"6'11""",254,80,67,87,81,80,80,80,60,60,71,51,90,47,47,93,90,84,70,56,83,80
2-Way Rim-Wrecking Crasher,Center,"6'10""",235,75,75,85,90,75,75,80,71,75,65,66,85,81,78,90,85,84,67,61,65,65
2-Way Skilled Pick & Popper,Center,"6'11""",246,76,66,68,76,64,81,91,68,82,75,62,92,42,54,85,63,78,70,58,96,83
2-Way Stretch Five Cleaner,Center,"6'10""",248,81,75,70,81,65,85,82,79,76,46,50,85,74,50,80,84,94,74,67,83,77
2-Way Stretch Five Dimer,Center,"7'4""",230,85,70,61,76,60,87,89,67,90,59,44,90,62,46,93,80,80,62,47,81,73
2-Way Stretch Lob Threat,Center,"7'0"" to 7'4""",218-230,80-92,55-67,58-74,90,71-75,80-92,85-90,62-69,70-82,56-63,44-58,85-88,51-69,50-59,80-99,70-81,75-83,61-76,43-65,75-83,73-77
2-Way Stretch Lob Threat Dimer,Center,"7'1"" to 7'4""",226-252,82-86,61-70,54-73,85,80-84,81-91,89-90,70-86,76-87,65-70,40-55,85-88,52-62,40-43,84,80,85-94,54-70,41-58,83-84,69-80
2-Way Stretch Putback Pro,Center,"6'11"" to 7'4""",232-257,75-85,54-71,51-73,90-94,56-79,73-90,75-89,60-75,71-82,25-70,25-55,85-88,37-72,40-60,64-93,85-99,73-84,25-70,25-61,83-95,62-83
