Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Break Starter,Power Forward,"6'11""",230,86,80,87,72,61,85,83,77,87,70,60,85,70,48,78,79,85,76,67,87,79
2-Way 3-Level Cleaner,Power Forward,"6'8"" to 6'9""",232-259,74-82,75,87-93,52-53,51-52,89-92,80-90,70-85,70-82,47-77,46-75,65-88,50-85,43-70,48-84,62-81,86-91,76-81,70-78,77-86,83-86
2-Way 3-Level Crasher,Power Forward,"6'10"" to 6'11""",213-248,83-85,66-85,71-89,72-80,60-89,85-88,75-86,62-74,42-76,49-78,45-70,85-90,49-74,47-70,65-84,85-96,81-86,73-80,58-75,79-83,65-85
2-Way 3-Level Dime Dropper,Power Forward,"6'9""",210,73,73,93,58,43,81,89,67,85,72,68,74,82,73,74,79,80,80,71,73,80
2-Way 3-Level Diming Crasher,Power Forward,"6'11""",225,78,80,88,80,65,83,81,78,86,74,65,83,63,69,90,84,84,76,61,69,77
2-Way 3-Level Point Four,Power Forward,"6'11""",210-241,76-90,77-78,87-88,76-80,65-80,81-93,87-91,69-80,85-95,70-75,63-68,85,49-73,47-70,65-80,66-80,80,74-75,64-73,68-83,77-80
2-Way 3-Level Scorer,Power Forward,"6'8"" to 6'11""",210-245,85-92,85-90,82-89,52-80,44-85,88-93,83-90,65-98,55-82,70-75,60-68,74-92,51-82,44-61,74-88,55-80,68-85,74-82,65-79,70-84,65-83
2-Way 3-Level Scoring Bully,Power Forward,"6'11""",236,80,84,86,83,80,85,91,81,70,70,64,86,71,42,63,75,75,75,66,90,87
2-Way 3-Level Shot Creator,Power Forward,"6'7"" to 7'0""",210-268,70-95,64-93,50-93,41-90,46-98,81-94,81-91,62-93,49-85,66-86,57-80,60-90,45-92,40-85,50-93,44-92,55-94,69-85,57-82,50-86,55-90
2-Way Blow-By Ace,Power Forward,"6'9""",210,80,80,80,80,58,80,80,56,71,65,70,85,80,50,88,77,82,83,73,72,88
