Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Playmaker,Point Guard,"6'4"" to 6'6""",201-205,70-74,71-78,80-88,25-38,36-48,85-89,88-90,67-87,87-90,86-90,83-88,42-43,84-87,77-80,36-40,25-36,44-51,83-88,80-83,52-61,68-75
2-Way 3-Level Scorer,Point Guard,"6'4"" to 6'6""",180-214,70-77,71-80,80-95,25-57,25-38,85-92,85-95,65-99,50-80,75-83,75-83,45-70,85-95,56-91,40-74,25-66,50-55,88-93,79-90,50-67,60-80
2-Way 3-Level Shot Creator,Point Guard,"6'2"" to 6'7""",168-230,70-83,70-90,25-93,25-60,32-51,85-95,83-96,64-99,61-85,83-93,75-91,40-80,85-92,55-89,35-80,25-70,45-80,75-91,72-88,45-75,56-83
2-Way 3PT Playmaker,Point Guard,"6'2"" to 6'7""",178-218,64-74,71-80,26-80,25-29,28-51,79-83,88-93,66-99,87-92,82-94,82-91,44-60,85-91,56-99,35-61,25-70,45-57,85-91,77-87,50-81,56-70
2-Way 3PT Shot Hunter,Point Guard,"6'2"" to 6'7""",168-207,63-85,70-83,25-81,25-51,32-53,77-84,85-94,60-99,60-85,85-94,75-94,35-78,85-94,55-93,35-78,25-62,45-70,85-94,76-90,45-84,60-83
2-Way 3PT Slasher,Point Guard,"6'1"" to 6'7""",165-230,64-83,70-85,60-94,25-60,30-60,75-84,83-94,60-99,60-85,83-94,71-94,30-82,80-93,50-93,30-78,25-75,40-78,80-94,70-90,40-81,60-85
2-Way 3PT Sniper,Point Guard,"6'1"" to 6'6""",178-206,68-76,85-88,25-80,25-30,31-46,82-84,92-94,68-80,65-87,86-92,80-91,39-77,85-94,60-91,36-68,25-35,45-57,85-91,76-89,47-74,56-70
2-Way 3PT-Creating Cleaner,Point Guard,"6'6""",215,65,80,80,40,42,79,89,65,77,86,80,78,92,67,74,74,80,86,80,82,70
2-Way 3PT-Sniping High Flyer,Point Guard,"6'4"" to 6'7""",190-211,65-84,62-80,82-89,33-51,27-79,77-84,86-94,62-91,53-81,70-84,73-83,46-79,85-95,63-92,41-62,26-67,50-75,83-92,83-93,51-83,75-86
2-Way Blow-By Bully,Point Guard,"6'4""",214,60,70,75,25,32,73,83,70,82,81,86,53,96,85,46,35,56,94,90,82,75
