Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Break Starter,Small Forward,"6'10""",223,80,68,87,60,57,90,89,67,92,70,50,90,70,55,88,60,85,70,55,84,80
2-Way 3-Level Cleaner,Small Forward,"6'8""",220,76,70,87,51,77,89,84,67,70,81,72,88,76,60,84,80,85,80,70,83,75
2-Way 3-Level Dime Dropper,Small Forward,"6'9""",185-209,77-84,66-80,73-91,55-73,51-85,85-92,85-90,65-95,85-91,80,73-75,57-80,85-90,67-79,50-68,73-75,60-75,84-86,80-81,56-80,65-80
2-Way 3-Level Point Forward,Small Forward,"6'7"" to 6'8""",185-215,74-78,71-85,60-91,25-51,43-51,84-89,83-89,64-94,85-89,80-86,75-82,47-60,85-92,62-80,40-74,27-67,51-71,80-87,76-85,53-84,59-80
2-Way 3-Level Scorer,Small Forward,"6'5"" to 6'10""",185-225,70-84,65-90,60-99,41-72,26-79,84-93,83-91,65-98,25-84,50-82,55-80,50-83,82-95,57-92,46-88,34-80,55-80,75-88,70-86,55-83,74-90
2-Way 3-Level Scoring Bully,Small Forward,"6'7"" to 6'8""",215-218,73-78,70-85,87-89,45-47,53-55,85,83-89,72-80,71-75,75,75-78,70-75,85-92,55-72,78-80,56-61,70-80,80-81,76,85,77-78
2-Way 3-Level Shot Creator,Small Forward,"6'4"" to 6'8""",185-227,72-85,68-85,84-95,39-72,36-80,85-93,83-90,61-93,56-82,81-90,70-89,43-89,85-92,55-86,35-86,28-78,45-81,75-89,70-85,50-75,69-85
2-Way 3PT Shot Hunter,Small Forward,"6'6"" to 6'8""",180-218,67-74,71-80,64-82,39-72,41-52,75-83,85-93,66-89,65-82,85-86,75-86,50-82,85-94,67-85,48-78,32-70,55-70,82-89,77-85,59-85,74-80
2-Way 3PT Slasher,Small Forward,"6'6"" to 6'8""",185-235,67-79,70-85,85-94,37-72,40-70,73-83,83-92,58-90,60-85,83-86,65-85,48-85,57-92,41-90,37-88,25-77,50-85,75-90,71-87,53-84,75-88
2-Way 3PT Sniper,Small Forward,"6'8""",193,80,90,75,40,51,75,85,62,72,85,80,60,85,85,74,73,80,85,77,75,70
