Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Combo Guard,Shooting Guard,"6'8""",210,75,85,87,53,51,90,86,80,90,86,78,68,85,75,48,33,55,85,80,52,80
2-Way 3-Level Dime Dropper,Shooting Guard,"6'8""",200,74-75,70,88,48,77-79,85,89-90,79,85,84,75-76,60,85,79,72-74,46-49,55,83,76,67,78
2-Way 3-Level Scorer,Shooting Guard,"6'5"" to 6'8""",186-220,70-84,67-82,87-93,32-73,30-50,85-96,85-96,65-94,68-83,66-85,66-85,44-74,85-94,55-90,40-79,27-72,50-70,73-90,71-88,50-80,67-92
2-Way 3-Level Scoring Bully,Shooting Guard,"6'5"" to 6'8""",198-224,75-78,70,89-90,35-49,40-51,87-92,85-89,65-73,70-71,65-75,70-75,61-65,89-94,73-91,67-70,30-56,55-60,85-90,80-83,85,70-80
2-Way 3-Level Shot Creator,Shooting Guard,"6'4"" to 6'8""",185-224,70-86,70-90,40-94,25-68,31-85,85-95,83-95,64-98,58-83,81-92,75-86,40-80,82-93,55-85,35-78,25-75,45-81,80-89,73-89,50-86,65-88
2-Way 3PT Playmaker,Shooting Guard,"6'6"" to 6'7""",180-209,65-85,71-80,41-76,25-40,45-67,80-82,88-92,74-84,85,81-90,80-86,50-60,85-90,73-85,68-75,25-40,45-60,80-86,83-85,55-80,60-78
2-Way 3PT Shot Hunter,Shooting Guard,"6'4"" to 6'8""",175-213,63-80,70-80,39-82,25-50,36-60,78-84,85-94,60-88,60-75,85-92,80-91,42-76,85-95,61-91,35-74,25-71,45-70,85-91,75-90,46-80,60-80
2-Way 3PT Slasher,Shooting Guard,"6'3"" to 6'8""",170-225,67-82,69-84,87-96,34-72,34-79,74-84,84-94,62-98,60-84,81-92,75-91,35-82,83-95,55-94,35-84,25-75,45-80,80-93,72-89,45-83,70-88
2-Way 3PT Sniper,Shooting Guard,"6'4"" to 6'6""",175-205,70-80,85-93,29-80,25-46,35-47,80-84,88-94,69-85,60-75,85-92,86-88,45-56,85-92,59-91,35-67,25-45,45-52,86-90,80-87,45-79,59-70
2-Way 3PT Sniping High Flyer,Shooting Guard,"6'8""",185,73,80,93,53,45,82,92,67,60,75,75,80,93,73,58,57,70,75,76,73,80
2-Way 3PT-Sniping High Flyer,Shooting Guard,"6'4"" to 6'8""",175-230,65-80,60-83,80-96,25-74,26-60,75-86,85-96,60-94,43-82,68-84,68-83,46-80,84-95,61-96,39-78,25-70,44-74,80-94,76-92,46-91,67-90
2-Way 3PT-Sniping Layup Artist,Shooting Guard,"6'7""",208,76,86,80,40,48,77,85,62,75,81,75,75,92,62,75,41,60,85,81,83,80
2-Way Ball-Hawking High Flyer,Shooting Guard,"6'8""",185-190,70-77,75-79,90-93,50-53,45-54,70-75,80,55-66,75-82,80,75-80,65-81,90-91,88-90,56-65,41-46,60-61,82-83,72-75,67-70,82-86
2-Way Blow-By Ace,Shooting Guard,"6'6""",180-200,65,71-75,80,30-35,41-45,73-80,83,89-91,61-65,86-90,85-86,56-70,91-92,91,44-70,27-34,52-54,90-94,84-89,59-61,62-65
2-Way Blow-By High Flyer,Shooting Guard,"6'6""",195,70,70,87,40,45,80,83,59,65,85,86,60,87,90,60,28,47,87,83,79,80
2-Way Bulldozer,Shooting Guard,"6'7"" to 6'8""",210-214,65-70,66-71,85-87,35-48,50-53,73-77,80-83,59-85,61-71,81-85,75-77,60-74,92-96,85-90,49-85,31-76,56-64,80-87,80-86,85,65-75
2-Way Chaos Trigger,Shooting Guard,"6'8""",198,65,75,82,45,47,77,87,72,71,81,75,70,85,85,84,74,70,82,82,82,75
2-Way Combo Guard,Shooting Guard,"6'5""",205,73,85,80,45,41,80,80,99,91,85,86,60,85,79,68,25,45,86,80,73,78
2-Way Combo Guard Creator,Shooting Guard,"6'6"" to 6'8""",185-208,70-80,54-83,65-84,40-55,46-51,85-94,89-93,78-98,85-86,66-89,70-80,50-65,83-92,62-83,41-78,31-38,43-62,81-87,73-87,71-85,67-80
2-Way Crafty 3-Level Cleaner,Shooting Guard,"6'8""",227,75,85,86,46,77,88,85,75,71,75,75,60,87,73,74,60,80,80,80,73,80
2-Way Crafty Inside-Out Scorer,Shooting Guard,"6'8""",200,75,85,87,47,47,80,87,78,78,80,75,60,85,79,78,70,60,80,80,75,80
2-Way Crafty Mid-Range Slasher,Shooting Guard,"6'8""",193,78,85,86,46,51,93,83,68,71,86,80,60,85,57,74,71,70,80,81,73,80
2-Way High-Flying Post Cleaner,Shooting Guard,"6'8""",231,82,80,85,45,87,73,83,59,70,81,75,66,86,56,74,59,80,80,80,86,80
2-Way High-Flying Post Scorer,Shooting Guard,"6'6""",217,80,70,89,39,83,80,84,70,65,82,81,73,85,90,75,44,53,85,88,55,81
